,token,token_count,percent_dist,log_percent_dist
483,under,18,9.617953513224687e-05,-9.24929395543641
485,Articles,2,1.0686615014694095e-05,-11.44651853277263
487,Confederation,2,1.0686615014694095e-05,-11.44651853277263
491,superceded,2,1.0686615014694095e-05,-11.44651853277263
492,by,171,0.0009137055837563451,-6.998002156829915
494,Constitution,2,1.0686615014694095e-05,-11.44651853277263
495,several,16,8.549292011755276e-05,-9.367076991092794
496,years,36,0.00019235907026449373,-8.556146774876465
497,afterwards,10,5.343307507347048e-05,-9.83708062033853
502,ceding,2,1.0686615014694095e-05,-11.44651853277263
503,these,63,0.000336628372962864,-7.996530986941043
508,government,40,0.00021373230029388192,-8.450786259218638
509,was,249,0.001330483569329415,-6.622212816867868
510,set,8,4.274646005877638e-05,-10.06022417165274
511,on,78,0.00041677798557306973,-7.7829568866429835
512,foot,2,1.0686615014694095e-05,-11.44651853277263
514,Mr.,8,4.274646005877638e-05,-10.06022417165274
515,Jefferson,5,2.671653753673524e-05,-10.530227800898475
518,author,8,4.274646005877638e-05,-10.06022417165274
521,Declaration,10,5.343307507347048e-05,-9.83708062033853
523,Independence,14,7.480630510285867e-05,-9.500608383717317
526,otherwise,6,3.205984504408229e-05,-10.34790624410452
528,chief,8,4.274646005877638e-05,-10.06022417165274
529,actor,2,1.0686615014694095e-05,-11.44651853277263
532,revolution,6,3.205984504408229e-05,-10.34790624410452
536,delegate,2,1.0686615014694095e-05,-11.44651853277263
541,twice,4,2.137323002938819e-05,-10.753371352212685
542,President,4,2.137323002938819e-05,-10.753371352212685
544,who,79,0.0004221212930804168,-7.770217860865554
552,continue,10,5.343307507347048e-05,-9.83708062033853
557,most,10,5.343307507347048e-05,-9.83708062033853
558,distinguished,8,4.274646005877638e-05,-10.06022417165274
559,politician,2,1.0686615014694095e-05,-11.44651853277263
565,Virginian,2,1.0686615014694095e-05,-11.44651853277263
567,birth,2,1.0686615014694095e-05,-11.44651853277263
569,continued,8,4.274646005877638e-05,-10.06022417165274
570,residence,2,1.0686615014694095e-05,-11.44651853277263
573,withal,2,1.0686615014694095e-05,-11.44651853277263
576,slave-holder,2,1.0686615014694095e-05,-11.44651853277263
578,conceived,4,2.137323002938819e-05,-10.753371352212685
580,idea,4,2.137323002938819e-05,-10.753371352212685
582,taking,18,9.617953513224687e-05,-9.24929395543641
584,occasion,2,1.0686615014694095e-05,-11.44651853277263
587,prevent,14,7.480630510285867e-05,-9.500608383717317
588,slavery,230,0.001228960726689821,-6.70158640440938
589,ever,44,0.0002351055303232701,-8.355476079414315
590,going,8,4.274646005877638e-05,-10.06022417165274
593,north-western,4,2.137323002938819e-05,-10.753371352212685
596,He,32,0.00017098584023510552,-8.673929810532849
597,prevailed,4,2.137323002938819e-05,-10.753371352212685
601,Legislature,6,3.205984504408229e-05,-10.34790624410452
603,adopt,4,2.137323002938819e-05,-10.753371352212685
604,his,82,0.00043815121560245794,-7.732946466068322
605,views,2,1.0686615014694095e-05,-11.44651853277263
609,cede,2,1.0686615014694095e-05,-11.44651853277263
615,prohibition,10,5.343307507347048e-05,-9.83708062033853
618,therein,6,3.205984504408229e-05,-10.34790624410452
621,condition,10,5.343307507347048e-05,-9.83708062033853
624,deed,2,1.0686615014694095e-05,-11.44651853277263
627,accepted,2,1.0686615014694095e-05,-11.44651853277263
629,cession,2,1.0686615014694095e-05,-11.44651853277263
638,first,47,0.00025113545284531126,-8.289518111622517
639,Ordinance,6,3.205984504408229e-05,-10.34790624410452
643,acts,8,4.274646005877638e-05,-10.06022417165274
648,called,10,5.343307507347048e-05,-9.83708062033853
650,for,240,0.0012823938017632916,-6.659026789990584
657,provided,6,3.205984504408229e-05,-10.34790624410452
660,should,66,0.00035265829548490515,-7.950010971306149
661,never,50,0.0002671653753673524,-8.22764270790443
663,permitted,8,4.274646005877638e-05,-10.06022417165274
666,This,78,0.00041677798557306973,-7.7829568866429835
669,famed,2,1.0686615014694095e-05,-11.44651853277263
670,ordinance,24,0.00012823938017632916,-8.961611882984629
672,'87,22,0.00011755276516163505,-9.04862325997426
674,often,2,1.0686615014694095e-05,-11.44651853277263
675,spoken,14,7.480630510285867e-05,-9.500608383717317
678,Thenceforward,2,1.0686615014694095e-05,-11.44651853277263
681,sixty-one,2,1.0686615014694095e-05,-11.44651853277263
685,until,4,2.137323002938819e-05,-10.753371352212685
687,1848,6,3.205984504408229e-05,-10.34790624410452
690,last,14,7.480630510285867e-05,-9.500608383717317
691,scrap,2,1.0686615014694095e-05,-11.44651853277263
695,came,32,0.00017098584023510552,-8.673929810532849
706,parties,20,0.00010686615014694096,-9.143933439778584
707,acted,2,1.0686615014694095e-05,-11.44651853277263
709,quiet,4,2.137323002938819e-05,-10.753371352212685
710,obedience,2,1.0686615014694095e-05,-11.44651853277263
715,It,86,0.0004595244456318461,-7.685318417079067
720,foresaw,2,1.0686615014694095e-05,-11.44651853277263
722,intended,20,0.00010686615014694096,-9.143933439778584
725,happy,6,3.205984504408229e-05,-10.34790624410452
726,home,4,2.137323002938819e-05,-10.753371352212685
728,teeming,2,1.0686615014694095e-05,-11.44651853277263
729,millions,12,6.411969008816458e-05,-9.654759063544574
731,free,102,0.0005450173657493988,-7.514692900048304
733,white,44,0.0002351055303232701,-8.355476079414315
735,prosperous,2,1.0686615014694095e-05,-11.44651853277263
736,people,94,0.0005022709056906225,-7.596370931062571
740,slave,120,0.0006411969008816458,-7.352173970550529
741,amongst,16,8.549292011755276e-05,-9.367076991092794
744,Thus,20,0.00010686615014694096,-9.143933439778584
751,declaration,6,3.205984504408229e-05,-10.34790624410452
756,policy,10,5.343307507347048e-05,-9.83708062033853
758,prohibiting,7,3.7403152551429335e-05,-10.193755564277263
761,new,50,0.0002671653753673524,-8.22764270790443
763,originated,6,3.205984504408229e-05,-10.34790624410452
767,away,10,5.343307507347048e-05,-9.83708062033853
768,back,20,0.00010686615014694096,-9.143933439778584
771,constitution,48,0.0002564787603526583,-8.268464702424684
775,pure,2,1.0686615014694095e-05,-11.44651853277263
776,fresh,4,2.137323002938819e-05,-10.753371352212685
779,breath,6,3.205984504408229e-05,-10.34790624410452
792,congress,10,5.343307507347048e-05,-9.83708062033853
793,put,2,1.0686615014694095e-05,-11.44651853277263
797,practice,8,4.274646005877638e-05,-10.06022417165274
800,through,18,9.617953513224687e-05,-9.24929395543641
801,sixty,2,1.0686615014694095e-05,-11.44651853277263
802,odd,4,2.137323002938819e-05,-10.753371352212685
805,best,16,8.549292011755276e-05,-9.367076991092794
809,republic,4,2.137323002938819e-05,-10.753371352212685
813,steadily,8,4.274646005877638e-05,-10.06022417165274
814,work,6,3.205984504408229e-05,-10.34790624410452
817,great,53,0.0002831952978893935,-8.169373799780454
819,beneficent,2,1.0686615014694095e-05,-11.44651853277263
820,end,8,4.274646005877638e-05,-10.06022417165274
826,those,36,0.00019235907026449373,-8.556146774876465
827,five,16,8.549292011755276e-05,-9.367076991092794
828,states,12,6.411969008816458e-05,-9.654759063544574
836,enterprising,2,1.0686615014694095e-05,-11.44651853277263
841,before,26,0.00013892599519102323,-8.881569175311093
842,us,116,0.0006198236708522576,-7.386075522226211
844,rich,4,2.137323002938819e-05,-10.753371352212685
845,fruits,2,1.0686615014694095e-05,-11.44651853277263
850,But,86,0.0004595244456318461,-7.685318417079067
853,light,2,1.0686615014694095e-05,-11.44651853277263
854,breaks,2,1.0686615014694095e-05,-11.44651853277263
855,upon,42,0.00022441891530857602,-8.401996095049206
858,Now,34,0.00018167245524979963,-8.613305188716414
860,declares,2,1.0686615014694095e-05,-11.44651853277263
862,ought,10,5.343307507347048e-05,-9.83708062033853
870,like,12,6.411969008816458e-05,-9.654759063544574
874,must,28,0.00014961261020571734,-8.807461203157372
877,again,16,8.549292011755276e-05,-9.367076991092794
880,sacred,36,0.00019235907026449373,-8.556146774876465
881,right,82,0.00043815121560245794,-7.732946466068322
883,self,10,5.343307507347048e-05,-9.83708062033853
886,grossly,2,1.0686615014694095e-05,-11.44651853277263
887,violated,2,1.0686615014694095e-05,-11.44651853277263
890,!,24,0.00012823938017632916,-8.961611882984629
892,even,30,0.00016029922522041144,-8.73846833167042
893,find,16,8.549292011755276e-05,-9.367076991092794
898,drew,2,1.0686615014694095e-05,-11.44651853277263
904,every,28,0.00014961261020571734,-8.807461203157372
909,lives,2,1.0686615014694095e-05,-11.44651853277263
913,very,48,0.0002564787603526583,-8.268464702424684
914,restriction,20,0.00010686615014694096,-9.143933439778584
917,live,6,3.205984504408229e-05,-10.34790624410452
919,dread,2,1.0686615014694095e-05,-11.44651853277263
921,absolute,4,2.137323002938819e-05,-10.753371352212685
922,suffocation,2,1.0686615014694095e-05,-11.44651853277263
924,if,90,0.0004808976756612343,-7.63985604300231
928,restricted,2,1.0686615014694095e-05,-11.44651853277263
931,``,97,0.0005183008282126637,-7.564954734829192
934,'',75,0.00040074806305102857,-7.822177599796265
937,slaves,84,0.00044883783061715204,-7.708848914489262
939,Nebraska,136,0.0007266898209991985,-7.227010827596523
941,That,34,0.00018167245524979963,-8.613305188716414
942,perfect,4,2.137323002938819e-05,-10.753371352212685
943,liberty,14,7.480630510285867e-05,-9.500608383717317
945,sigh,2,1.0686615014694095e-05,-11.44651853277263
957,-Jefferson,1,5.3433075073470476e-06,-12.139665713332574
964,father,2,1.0686615014694095e-05,-11.44651853277263
976,year,12,6.411969008816458e-05,-9.654759063544574
977,ago,14,7.480630510285867e-05,-9.500608383717317
979,How,8,4.274646005877638e-05,-10.06022417165274
980,fortunate,2,1.0686615014694095e-05,-11.44651853277263
987,sooner,6,3.205984504408229e-05,-10.34790624410452
988,become,16,8.549292011755276e-05,-9.367076991092794
989,sensible,2,1.0686615014694095e-05,-11.44651853277263
993,misery,2,1.0686615014694095e-05,-11.44651853277263
995,Oh,2,1.0686615014694095e-05,-11.44651853277263
997,how,18,9.617953513224687e-05,-9.24929395543641
998,difficult,4,2.137323002938819e-05,-10.753371352212685
1002,treat,4,2.137323002938819e-05,-10.753371352212685
1004,respect,4,2.137323002938819e-05,-10.753371352212685
1007,assaults,2,1.0686615014694095e-05,-11.44651853277263
1013,really,8,4.274646005877638e-05,-10.06022417165274
1014,held,16,8.549292011755276e-05,-9.367076991092794
1019,return,6,3.205984504408229e-05,-10.34790624410452
1024,1803,4,2.137323002938819e-05,-10.753371352212685
1026,purchased,8,4.274646005877638e-05,-10.06022417165274
1031,Louisiana,6,3.205984504408229e-05,-10.34790624410452
1034,France,12,6.411969008816458e-05,-9.654759063544574
1037,included,2,1.0686615014694095e-05,-11.44651853277263
1044,Arkansas,10,5.343307507347048e-05,-9.83708062033853
1049,Iowa,10,5.343307507347048e-05,-9.83708062033853
1055,Minnesota,10,5.343307507347048e-05,-9.83708062033853
1060,bone,6,3.205984504408229e-05,-10.34790624410452
1062,contention,6,3.205984504408229e-05,-10.34790624410452
1064,Kansas,12,6.411969008816458e-05,-9.654759063544574
1068,Slavery,8,4.274646005877638e-05,-10.06022417165274
1069,already,32,0.00017098584023510552,-8.673929810532849
1070,existed,2,1.0686615014694095e-05,-11.44651853277263
1071,among,14,7.480630510285867e-05,-9.500608383717317
1073,French,4,2.137323002938819e-05,-10.753371352212685
1075,New,34,0.00018167245524979963,-8.613305188716414
1076,Orleans,2,1.0686615014694095e-05,-11.44651853277263
1082,extent,10,5.343307507347048e-05,-9.83708062033853
1085,St.,2,1.0686615014694095e-05,-11.44651853277263
1086,Louis,2,1.0686615014694095e-05,-11.44651853277263
1089,1812,2,1.0686615014694095e-05,-11.44651853277263
1098,state,32,0.00017098584023510552,-8.673929810532849
1100,without,50,0.0002671653753673524,-8.22764270790443
1101,controversy,20,0.00010686615014694096,-9.143933439778584
1104,1818,2,1.0686615014694095e-05,-11.44651853277263
1106,'19,2,1.0686615014694095e-05,-11.44651853277263
1109,showed,2,1.0686615014694095e-05,-11.44651853277263
1110,signs,2,1.0686615014694095e-05,-11.44651853277263
1115,come,32,0.00017098584023510552,-8.673929810532849
1122,resisted,4,2.137323002938819e-05,-10.753371352212685
1124,northern,12,6.411969008816458e-05,-9.654759063544574
1125,members,8,4.274646005877638e-05,-10.06022417165274
1131,began,10,5.343307507347048e-05,-9.83708062033853
1136,agitation,14,7.480630510285867e-05,-9.500608383717317
1139,nation,22,0.00011755276516163505,-9.04862325997426
1143,lasted,2,1.0686615014694095e-05,-11.44651853277263
1145,months,4,2.137323002938819e-05,-10.753371352212685
1148,became,10,5.343307507347048e-05,-9.83708062033853
1150,angry,4,2.137323002938819e-05,-10.753371352212685
1152,exciting,2,1.0686615014694095e-05,-11.44651853277263
1155,House,14,7.480630510285867e-05,-9.500608383717317
1157,Representatives,12,6.411969008816458e-05,-9.654759063544574
1158,voting,22,0.00011755276516163505,-9.04862325997426
1170,Senate,18,9.617953513224687e-05,-9.24929395543641
1174,against,38,0.0002030456852791878,-8.502079553606189
1177,Threats,2,1.0686615014694095e-05,-11.44651853277263
1179,breaking,4,2.137323002938819e-05,-10.753371352212685
1180,up,36,0.00019235907026449373,-8.556146774876465
1184,freely,4,2.137323002938819e-05,-10.753371352212685
1185,made,44,0.0002351055303232701,-8.355476079414315
1189,ablest,2,1.0686615014694095e-05,-11.44651853277263
1190,public,14,7.480630510285867e-05,-9.500608383717317
1194,day,16,8.549292011755276e-05,-9.367076991092794
1196,seriously,2,1.0686615014694095e-05,-11.44651853277263
1197,alarmed,2,1.0686615014694095e-05,-11.44651853277263
1199,At,14,7.480630510285867e-05,-9.500608383717317
1200,length,6,3.205984504408229e-05,-10.34790624410452
1211,compromises,18,9.617953513224687e-05,-9.24929395543641
1213,both,34,0.00018167245524979963,-8.613305188716414
1214,sides,4,2.137323002938819e-05,-10.753371352212685
1215,yielded,6,3.205984504408229e-05,-10.34790624410452
1216,something,4,2.137323002938819e-05,-10.753371352212685
1221,law,76,0.0004060913705583756,-7.808932373046244
1222,passed,34,0.00018167245524979963,-8.613305188716414
1225,6th,2,1.0686615014694095e-05,-11.44651853277263
1228,March,2,1.0686615014694095e-05,-11.44651853277263
1230,1820,12,6.411969008816458e-05,-9.654759063544574
1232,providing,4,2.137323002938819e-05,-10.753371352212685
1235,might,8,4.274646005877638e-05,-10.06022417165274
1258,lies,8,4.274646005877638e-05,-10.06022417165274
1259,north,43,0.00022976222281592305,-8.378465597639012
1261,36,2,1.0686615014694095e-05,-11.44651853277263
1262,degrees,2,1.0686615014694095e-05,-11.44651853277263
1264,30,2,1.0686615014694095e-05,-11.44651853277263
1265,minutes,2,1.0686615014694095e-05,-11.44651853277263
1267,latitude,4,2.137323002938819e-05,-10.753371352212685
1276,provision,30,0.00016029922522041144,-8.73846833167042
